contents,sourceDepartments,sourcePersons,update_contents,update_sourceDepartments,update_sourcePersons,item_question
1,2,3,联盟修改成功,复仇者修改成功,人员修改成功,公司的合规与ESG有没有随时引爆的雷？
A,B,C,联盟修改成功,复仇者修改成功,人员修改成功,行业资质、数据隐私合规（尤其互联网/医疗行业）。
A联盟G内战,B复仇者联盟,C美国C队长,联盟修改成功,复仇者修改成功,人员修改成功,看一下公司的1，NPS。2，CAC。3，LTV
@,%,&,联盟修改成功,复仇者修改成功,人员修改成功,公司的战略与商业模式是什么？比如：1，价值主张：解决了什么痛点？产品是“可有可无”还是“不可或缺”？2，产业链定位：在上下游中处于强势还是弱势地位？3，增长飞轮：未来3年的增长靠提价、扩量还是新业务？4，对标差异：与国内外头号对手相比，核心差异点在哪里？
联盟（内站）,(¥复仇者联盟),美国&队长,联盟修改成功,复仇者修改成功,人员修改成功,"公司的组织与团队具体方向如 1,核心团队是否持股？过往履历是否有“财务造假”或“失信”污点？ 2,企业文化：员工离职率（特别是入职1年内的新人流失率）。 3, 治理结构：董事会决策是否独断专行？有无职业经理人与家族内斗风险。"
联盟-内战,复 仇 者&（联盟）,惊 奇@（）队fff长,联盟修改成功,复仇者修改成功,人员修改成功,""""""
 , , ,联盟修改成功,复仇者修改成功,人员修改成功,333
联 盟 内 战,复 仇 者 联 盟,钢 铁 侠,联盟修改成功,复仇者修改成功,人员修改成功,@@@
风林火山鸟月水川天云风林火山鸟月水川天云风林火山鸟月水川天云风林火山鸟月水川天云,LxGpRyTmQaFjHvCbNwKdZeSuXiYoMrAtDfJhWkPc,0123456789012345678901234567890123456789,联盟修改成功,复仇者修改成功,人员修改成功,sss
风林火山鸟月水川天云风林火山鸟月水川天云风林火山鸟月水川天云风林火山鸟月水川天云云,,,联盟修改成功,复仇者修改成功,人员修改成功,